"eprintid","rev_number","eprint_status","userid","importid","source","dir","datestamp","lastmod","status_changed","type","succeeds","commentary","metadata_visibility","contact_email","latitude","longitude","relation_type","relation_uri","item_issues_id","item_issues_type","item_issues_description","item_issues_timestamp","item_issues_status","item_issues_reported_by","item_issues_resolved_by","item_issues_comment","item_issues_count","sword_depositor","sword_slug","creators_name.family","creators_name.given","creators_name.lineage","creators_name.honourific","creators_nim","creators_id","contributors_name.family","contributors_name.given","contributors_name.lineage","contributors_name.honourific","corp_creators","title","ispublished","subjects","divisions","full_text_status","monograph_type","pres_type","keywords","note","abstract","date","date_type","series","publication","volume","number","publisher","place_of_pub","pagerange","pages","event_title","event_location","event_dates","event_type","id_number","patent_applicant","institution","department","thesis_type","thesis_name","refereed","isbn","issn","book_title","editors_name.family","editors_name.given","editors_name.lineage","editors_name.honourific","editors_id","official_url","related_url_url","related_url_type","referencetext","funders","projects","output_media","num_pieces","composition_type","data_type","pedagogic_type","completion_time","task_purpose","skill_areas","copyright_holders","learning_level","gscholar_impact","gscholar_cluster","gscholar_datestamp"
"19977","30","archive","12",,,"disk0/00/01/99/77","2023-06-19 06:41:35","2023-06-23 02:56:23","2023-06-19 06:41:35","thesis",,,"show",,,,"","","","","","","","","","",,,,"-","Alifian","","","19.11.2672","","Fauzi","Moch Farid","","","Universitas AMIKOM Yogyakarta","PEMBUATAN ANIMASI 2D “RORO JONGGRANG” DENGAN
TEKNIK FRAME BY FRAME","pub","696","if","restricted",,,"Multimedia, Animasi, Teknologi",,"Kartun dengan berbagai judul kini dibuat dan disiarkan di televisi. Kartun memiliki
plot yang berbeda tergantung pada proses atau sutradaranya, tetapi semuanya
memiliki tujuan yaitu menyampaikan pesan sebuah film kepada masyarakat tentang
maknanya. Perkembangan teknologi maju dengan pesat, salah satunya adalah
bidang multimedia. Pembuatan animasi ini sebagai media pembelajaran, sosialisasi
dan hiburan yang lebih menarik dan dapat mudah di terima oleh masyarakat luas.
Tugas akhir dengan judul “PEMBUATAN ANIMASI 2D RORO JONGGRANG
DENGAN TEKNIK FRAME BY FRAME” dibuat dengan tujuan membuat film
animasi yang mampu di terima oleh masyarakat luas yang dapat digunakan sebagai
media pembelajaran tentang cerita rakyat yang ada di Indonesia.","2023-02-23","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"18228","39","archive","12",,,"disk0/00/01/82/28","2023-04-05 03:07:41","2023-07-28 01:56:48","2023-04-05 03:07:41","thesis",,,"show",,,,"","","","","","","","","","",,,,"-","Devendi","","","18.11.2487","","Nugraha","Bhanu Sri","","","Universitas AMIKOM Yogyakarta","PERANCANGAN DAN PEMBUATAN ANIMASI 2D
“KEHIDUPAN” DENGAN MENGGUNAKAN METODEFRAME BY FRAME","pub","696","if","restricted",,,"Animasi 2D, Pria, Teman, Sentuhan.",,"Animasi 2D adalah jenis animasi dalam bentuk dua dimensi dimana 
animator atau pembuat animasi membuat sketsa gambar dan karakter dalam format
dua dimensi kemudian sketsa gambar digerakkan satu persatu, sehingga akan
terlihat seperti nyata. Animasi 2D dianggap suatu bentuk animasi traditional dengan
ciri karakter polos, tidak bervolume, dan hanya bergerak keatas, bawah, kiri, kanan. 
 Animasi ini bercerita tentang andi yang merasa aneh dengan temannya 
yang selalu bahagia seperti tidak mempunyai beban sedangkan dirinya selalu punya
banyak beban sehingga merasa tidak bahagia, sedangkan si haikal temannya andi
adalah seorang yang sabar dalam menghadapi masalah, karena dulu ia juga pernah
seperti andi namun dia yakin bahwa tuhan tidak memberikan beban masalah
melewati batas kemampuan orang tersebut.
 Proses dalam pembuatan animasi ini dilakukan dalam beberapa tahapan
mulai dari pra produksi hingga pasca produksi. Proses pra prosuksi dan produksi
sendiri meliputi pengembangan ide cerita, tema, sinopsis, desain karakter, script
dan storyboard serta tidak lupa juga ada sentuhan editing dan compositing.","2023-01-24","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"18396","34","archive","12",,,"disk0/00/01/83/96","2023-04-12 03:49:04","2023-07-26 06:11:42","2023-04-12 03:49:04","thesis",,,"show",,,,"","","","","","","","","","",,,,"-","Lathar","","","17.11.1002","","Verawati","Ike","","","Universitas AMIKOM Yogyakarta","PENERAPAN METODE RAPID APPLICATION DEVELOPMENT DALAM PENGGUNAAN QR CODE PENDATAAN BARANG BERBASIS ANDROID DI UPTD PENGELOLAAN AIR BERSIH MAMUJU TENGAH","pub","000.000.005","if","restricted",,,"Aplikasi, Android, Firebase Realtime Database, Rapid Application
Development, QR Code.",,"Penelitian ini menerapkan metode Rapid Application Development untuk aplikasi pendataan barang berbasis android. Salah satu permalasahan yang terjadi adalah pengolahan data persediaan barang, barang masuk dan barang keluar masih melakukan pendataan manual sehingga bagian adminstrasi gudang mengalami
kesulitan dalam mengelola data persediaan barang. Tujuan dari penelitian ini adalah untuk membuat aplikasi pendataan barang berbasis android yang dapat
meningkatkan kinerja karyawan dan memudahkan karyawan scan kode QR barang
masuk dan barang keluar pada setiap transaksi dengan menggunakan database yang
terpusat. Aplikasi ini dirancang dengan android dan menggunakan Firebase
Realtime Database sebagai database. Metode Rapid Application Development
(RAD) digunakan dalam penelitian ini untuk perencanaan sistem sebelum
dibangun. Rapid Application Development (RAD) adalah metode pengembangan
perangkat lunak yang mengutamakan kecepatan dan fleksibilitas dalam proses
pengembangan. Dalam proses RAD, pengembangan sistem dilakukan dengan cara
mengumpulkan kebutuhan pengguna, mengembangkan prototipe, menguji dan
menyempurnakan sistem, serta melakukan implementasi sistem yang selesai.
Dengan dibangunnya aplikasi android ini dapat mempermudah bagian adminstrasi
dan karyawan gudang dalam pengelolaan ketersediaan barang, barang masuk dan
barang keluar UPTD Pengelolaan Air Bersih Mamuju Tengah.","2023-01-18","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"18512","27","archive","12",,,"disk0/00/01/85/12","2023-04-13 04:00:21","2023-07-26 03:56:06","2023-04-13 04:00:21","thesis",,,"show",,,,"","","","","","","","","","",,,,"-","Rachmat","","","19.11.2638","","-","Sudarmawan","","","Universitas AMIKOM Yogyakarta","ANALISIS DAN IMPLEMENTASI KEAMANAN JARINGAN DARI SERANGAN EXPLOIT MENGGUNAKAN FIREWALL FILTERING SERTA PENERAPAN MONITORING MENGGUNAKAN CACTI","pub","000.000.000A","if","restricted",,,"Exploit, firewall, Instrusion Detection System (IDS), Port Blocking,
port scanning, DDOS, brute force.",,"Pada era seperti sekarang ini kebutuhan akan akses internet semakin
dibutuhkan. Seiring berkembangnya waktu keamanan dunia internet juga perlu
diperhatikan karena dapat mengancam keamanan pada jaringan tersebut. Router
berperan penting terutama untuk menghubungan ke jaringan intenet. Sering kali
router dijadikan target serangan yang dilancarkan guna mencari celah keamanan
didalamnya. Router yang terhubung langsung ke ip publik lebih rentan terkana
serangan karena langsung dapat diakses di jaringan internet. Serangan yang paling
banyak merupakan exploit yaitu mencari kelemahan pada router dengan
memanfaatkan port yang terbuka dan kelemahan pada firewall sehingga seseorang
dapat lebih mudah masuk ke sistem. Agar dapat mengamankan router bisa
menggunakan rule pada firewall.  
Penggunaan Instrusion Detection System (IDS) dan Port Blocking biasa
digunakan untuk mengamankan router dari serangan orang tidak bertanggung
jawab yang memanfaatkan kerentanan pada router. Instrusion Detection System
(IDS) digunakan untuk mendeteksi jika terdapat serangan pada perangkat
sedangkan Port Blocking digunakan untuk memblokir serangan tersebut serta
membantu mengijinkan perangkat diakses oleh jaringan tertentu. Terdapat juga
monitoring pada router yang dapat digunakan untuk memantau jika ada problem
dari router tersebut baik dari trafik yang digunakan maupun terdapat serangan bisa
langsung dilihat dari aplikasi monitoring tersebut. 
Hasil dari penelitian ini adalah untuk membuat keamanan dan perlindungan
router dari serangan exploit yang memanfaatkan port terbuka terutama dari pihak
luar yang ingin mengakses router, sehingga memproteksi router dari ancaman
seperti port scanning, DDOS, dan brute force. Serta menerapkan monitoring server
yang digunakan untuk memantau kondisi jaringan. Setelah firewall diterapkan
tingkat keberhasilan melakukan port scanning, ddos, dan brute force adalah 0.","2023-02-28","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"22103","25","archive","12",,,"disk0/00/02/21/03","2023-10-27 06:39:08","2023-10-27 06:39:08","2023-10-27 06:39:08","thesis",,,"show",,,,"","","","","","","","","","",,,,"A.R","Virga Gandhy","","","19.11.2978","","Setiaji","Bayu","","","Universitas AMIKOM Yogyakarta","IMPLEMENTASI AUGMENTED REALITY PENGENALAN MANUSIA PURBA DENGAN METODE PLANE TRACKING","pub","000.000.000A","if","restricted",,,"Augmented Reality, Instagram, Plane Tracking, Filter, Manusia Purba",,"Manusia Purba atau manusia yang hidup di masa jutaan tahun lalu. Salah satunya
kelompok Homo erectus ditemukan oleh Eugene Dubois di daerah Trinil menjadi salah satu
manusia purba tertua. Dengan tujuan untuk mengenalkan tentang sejarah manusia purba
Homo erectus dengan Augmented Reality yang dapat di implementasikan berupa benda tiga
dimensi kedalam filter Instagram Story dengan ,metode plane tracking. Dengan metode ini
dapat menampilkan objek tiga dimensi dari tulang-tulang dengan cara mendeteksi bidang
datar terhadap tangkapan arah kamera smartphone. Adanya penelitian ini bertujuan membuat
filter Augmented Reality di Instagram Story bertujuan untuk memberi edukasi tentang
manusia purba dengan metode plane tracking, yang menampilkan berupa tulang – tulang
manusia purba homo erectus, bentuk setengah badan manusia purba homo erectus, dan beserta
deskripsi di setiap objek yang akan di tampilkan. Hasil pembuatan filter tiga dimensi dengan
metode plane tracking dapat menampilkan objek tiga dimensi di bidang datar, sebagai salah
satu pengenalan edukasi tentang adanya manusia purba Homo erectus.","2023-08-18","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"22103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20173","25","archive","12",,,"disk0/00/02/01/73","2023-07-08 02:07:11","2023-07-08 02:07:11","2023-07-08 02:07:11","thesis",,,"show",,,,"","","","","","","","","","",,,,"Abbadi","Taufan Akmal","","","16.11.0892","","Hadinegoro","Arifiyanto","","","Universitas AMIKOM Yogyakarta","ANALISA METODE PER CONNECTION QUEUE, STOCHASTIC FAIRNESS QUEUING, DAN FIRST IN FIRST OUT DI MIKROTIK UNTUK LAYANAN JARINGAN PADA PPMA DAARU HIRAA","pub","000.000.003","if","restricted",,,"Internet, Bandwidth, PCQ, SFQ, FIFO",,"Pondok Pesantren Mahasiswa Daaru Hiraa adalah Pendidikan Non Formal
yang beralamat di Malangrejo, Wedomartani, Ngemplak, Sleman, Daerah
Istimewa Yogyakarta Menyediakan fasilitas salah satunya berupa wifi Namun
dengan fasilitas tersebut tidak bisa digunakan secara maksimal ketika salah satu
santri bahkan lebih ada yang download file dengan ukuran besar maka akan
berpengaruh pada kecepatan wifi Dengan problematika tersebut, pada penelitian
ini akan membahas tentang Analisa Metode Per Connection Queue, Stochastic
Fairness Queuing, dan First In First Out di Mikrotik untuk layanan jaringan pada
PP Daaru Hiraa Dalam penelitian akan dilakukan perancangan topologi jaringan,
konfigurasi, pengujian dan analisis Hasil analisis dari ketiga metode tersebut akan
dibandingkan dengan pembobotan berdasarkan standar TIPHON, sehingga dalam
penelitian ini akan menghasilkan satu metode yang terbaik yang bisa dijadikan
referensi agar layanan jaringan internet Pondok Pesantren Mahasiswa Daaru
Hiraa lebih baik dari sebelumnya.","2023-05-17","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"20173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000.000.004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20795","20","archive","12",,,"disk0/00/02/07/95","2023-07-25 03:53:12","2023-07-25 03:53:12","2023-07-25 03:53:12","thesis",,,"show",,,,"","","","","","","","","","",,,,"Abdan","Gilang Nailul","","","21.21.1525","","Supriatin","Supriatin","","","Universitas AMIKOM Yogyakarta","{NON-REGULER-JALUR MAGANG} LAPORAN MAGANG SEBAGAI QUALITY ASSURANCE PADA PT. RAPIDEV INOVASI NUSANTARA","pub","000.000.000A","if","restricted",,,"Software, Postman",,"Saat ini bisnis digital adalah sebuah jenis bisnis jasa yang telah
menggunakan kecanggihan dari membuat produk hingga proses pemasarannya.
Bisnis digital tidak hanya berkaitan tentang penjualan sebuah produk saja, namun
bisa saja dengan software atau tools yang mesti dibangun. Bisnis digital kini juga
tidak hanya berkaitan tentang produk fisik yang dikemas kedalam bentuk digital
seperti Ebook (buku elektronik). Produk dari bisnis digital saat ini dapat berupa
barang atau layanan penyedia jasa, sebagai contoh seperti PT yang saya tempati
menyediakan layanan jasa berbasis digital yang mampu bersaing dengan teknologi
dan kompeten. Dengan melakukan pengetesan REST API pada postman akan
membuat kenyamanan pada client karena sudah terintegerasi dan sudah dilakukan
test terlebih dahulu, maka akan menimbulkan kenyamanan bahkan kesalahan atau
bug dapat dihilangkan, dikarenakan sudah adanya deteksi kesalahan dan
kekurangan yang akan terjadi. Testing API pada postman sangan bermanfaat bagi
client, testing ini bertujuan untuk melihat apakah sudah benar atau belumnya API
yang akan digunakan oleh server.","2023-03-21","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"22707","24","archive","12",,,"disk0/00/02/27/07","2023-11-06 06:39:44","2023-11-06 06:39:44","2023-11-06 06:39:44","thesis",,,"show",,,,"","","","","","","","","","",,,,"Abdi","Tegar Sukma","","","17.11.1729","","Baita","Anna","","","Universitas AMIKOM Yogyakarta","SENTIMENT ANALISIS PENGGUNA TWITTER TERHADAP KEBIJAKAN PEMERINTAH MENGENAI HARGA MINYAK GORENG DI INDONESIA MENGGUNAKAN METODE NAIVE BAYES CLASSIFIER","pub","000.000.005","if","restricted",,,"Analisis sentimen, kelangkaan minyak goreng, naïve bayes classifier,
twitter.",,"Perkembangan teknologi internet yang begitu pesat, membuat berbagai
macam aktivitas manusia bergantung pada kemajuan teknologi salah satunya media
sosial. Media sosial, termasuk Twitter, telah menjadi platform yang memainkan
peran penting dalam memfasilitasi komunikasi dan berbagi informasi di antara
masyarakat global. Dalam konteks ini, Twitter telah menjadi ruang publik virtual
di mana pengguna dapat menyampaikan opini, pandangan pribadi, serta
mengungkapkan sentimen mereka mengenai berbagai hal, termasuk topik sensitif
seperti kelangkaan minyak goreng.
 
Untuk mengidentifikasi opini masyarakat, dilakukan analisis sentiment 
yang bertujuan untuk mengetahui apakah opini terhadap minyak goreng bersifat
positif atau negatif. Untuk menjalankan analisis sentimen ini, diperlukan algoritma
yang mumpuni. Salah satu algoritma yang diterapkan untuk mengklasifikasi data
tweet terkait isu kekurangan minyak goreng adalah algoritma Naïve Bayes
Classifier (NBC).
 
Hasil penelitian ini mencakup analisis sentimen tentang kelangkaan minyak 
goreng, diketahui bahwa sebagian besar pengguna mengekspresikan sentimen
negatif terhadap situasi ini, dengan persentase sebesar 59,84% (681 cuitan).
Sedangkan pengguna yang menunjukkan sentimen positif sebanyak 40,16% (457
cuitan). Sementara itu, dalam uji coba algoritma Naïve Bayes yang dijalankan
sebanyak 5 kali, ditemukan hasil terbaik pada skema pembagian data, dengan 80%
digunakan sebagai data latihan (training) dan 20% sebagai data pengujian (testing).
Dari hasil ini, akurasi algoritma mencapai 82%, dengan nilai presisi mencapai 84%,
nilai recall sebesar 82%, dan nilai f1-score sebesar 83%.","2023-08-22","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
